iter	Logloss
0	0.530786081
1	0.4726528953
2	0.448869969
3	0.4332661611
4	0.4266128961
5	0.4230807976
6	0.4196518158
7	0.417534018
8	0.4156114109
9	0.412941206
10	0.4111161671
11	0.4100571441
12	0.4088299169
13	0.407721762
14	0.4071070817
15	0.4059234713
16	0.4052346614
17	0.4044582454
18	0.4034399981
19	0.4027624449
20	0.4022159988
21	0.4012158091
22	0.4003830819
23	0.3999039225
24	0.399550169
25	0.3990732242
26	0.3987617986
27	0.3981333261
28	0.3976406286
29	0.3973563025
30	0.3967202348
31	0.3957947574
32	0.3954155554
33	0.3948524052
34	0.3942864349
35	0.3936973301
36	0.3929459627
37	0.3923522757
38	0.3918440126
39	0.3911533887
40	0.3905992831
41	0.3899981364
42	0.3893905698
43	0.3889430004
44	0.3884856526
45	0.3880190563
46	0.3876599902
47	0.3871287983
48	0.3867304868
49	0.386152562
50	0.3856947108
51	0.3852296779
52	0.3848178729
53	0.3841347658
54	0.3836064201
55	0.3831727152
56	0.3827814701
57	0.382638828
58	0.3820798132
59	0.3815000135
60	0.3808080554
61	0.380297716
62	0.3798221768
63	0.3793681474
64	0.3789886496
65	0.3784567171
66	0.3780724275
67	0.3776787401
68	0.3770564362
69	0.3769184467
70	0.3765486026
71	0.3761557641
72	0.3756818931
73	0.3750947879
74	0.3746975247
75	0.3744361221
76	0.3741099505
77	0.3737408739
78	0.3733724101
79	0.3730309597
80	0.3726947137
81	0.3724485916
82	0.3719614121
83	0.371766515
84	0.3712869388
85	0.3709154515
86	0.3705076624
87	0.3703152184
88	0.3699916246
89	0.3696666222
90	0.3691521774
91	0.3687808158
92	0.3685057164
93	0.3679682191
94	0.3676390959
95	0.3672161087
96	0.3669269716
97	0.3666333516
98	0.3662630032
99	0.3659688293
100	0.3655669965
101	0.3652943328
102	0.3650495937
103	0.3645970611
104	0.3643154606
105	0.3638601411
106	0.3636217546
107	0.3633606691
108	0.3630626247
109	0.3626233691
110	0.362273091
111	0.3619996278
112	0.3616145404
113	0.3612327851
114	0.3609032943
115	0.3605604372
116	0.3602959882
117	0.3600665376
118	0.3597275576
119	0.3593979496
120	0.3589467743
121	0.3585721085
122	0.3583201654
123	0.3581822298
124	0.3579062769
125	0.3576859064
126	0.3573756586
127	0.3571153808
128	0.3567949912
129	0.3565892031
130	0.3562476828
131	0.3558900901
132	0.3555879606
133	0.3551432676
134	0.3549546449
135	0.354738492
136	0.3544256379
137	0.354053298
138	0.3538488301
139	0.3535262923
140	0.3533646773
141	0.3531044752
142	0.3528443348
143	0.352554443
144	0.3521942909
145	0.351969885
146	0.3517528749
147	0.3514323833
148	0.3511761692
149	0.3508440609
