iter	Passed	Remaining
0	21	3198
1	45	3360
2	69	3419
3	94	3446
4	128	3725
5	147	3547
6	160	3269
7	176	3127
8	190	2977
9	210	2951
10	224	2831
11	236	2721
12	247	2606
13	261	2541
14	275	2480
15	290	2435
16	303	2374
17	313	2300
18	327	2256
19	341	2216
20	352	2164
21	363	2114
22	373	2064
23	382	2007
24	394	1970
25	408	1946
26	419	1910
27	429	1871
28	439	1835
29	449	1799
30	459	1764
31	471	1738
32	481	1708
33	491	1676
34	501	1647
35	510	1618
36	521	1591
37	530	1565
38	540	1539
39	550	1514
40	560	1490
41	570	1466
42	579	1442
43	589	1419
44	601	1402
45	614	1389
46	625	1371
47	636	1351
48	646	1332
49	657	1315
50	668	1297
51	678	1278
52	688	1259
53	698	1241
54	707	1222
55	718	1205
56	728	1187
57	737	1170
58	748	1154
59	758	1137
60	768	1120
61	777	1103
62	787	1087
63	797	1072
64	811	1061
65	822	1046
66	832	1031
67	842	1016
68	852	1001
69	862	985
70	872	970
71	882	955
72	891	940
73	901	926
74	911	911
75	920	896
76	931	882
77	941	868
78	951	855
79	961	841
80	971	827
81	981	814
82	991	800
83	1002	787
84	1013	775
85	1026	763
86	1037	750
87	1047	737
88	1056	724
89	1067	711
90	1077	698
91	1087	685
92	1097	672
93	1111	662
94	1122	649
95	1133	637
96	1143	624
97	1152	611
98	1163	599
99	1173	586
100	1184	574
101	1194	561
102	1209	551
103	1219	539
104	1230	527
105	1240	514
106	1250	502
107	1260	490
108	1270	477
109	1280	465
110	1290	453
111	1300	441
112	1310	429
113	1321	417
114	1330	405
115	1340	393
116	1350	380
117	1360	368
118	1370	357
119	1380	345
120	1391	333
121	1401	321
122	1414	310
123	1428	299
124	1439	287
125	1449	276
126	1459	264
127	1469	252
128	1479	240
129	1489	229
130	1498	217
131	1508	205
132	1519	194
133	1530	182
134	1540	171
135	1550	159
136	1560	148
137	1570	136
138	1581	125
139	1591	113
140	1601	102
141	1612	90
142	1626	79
143	1639	68
144	1651	56
145	1661	45
146	1671	34
147	1681	22
148	1690	11
149	1700	0
